#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:21:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defe11a67cd	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/other/ApSS/361.126&tab:{J/other/ApSS/361.126/table4}&key:source=J/other/ApSS/361.126&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/other/ApSS/361.126/table4
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=e_Vmag
#-out=U-B
#-out=e_U-B
#-out=B-V
#-out=e_B-V
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Pmemb
#-out.all=2
#

#RESOURCE=yCat_1017036102
#Name: J/other/ApSS/361.126
#Title: NGC 6819 CCD UBV photometry (Ak+, 2016)
#Table	J_other_ApSS_361_126_table4:
#Name: J/other/ApSS/361.126/table4
#Title: Photometric and astrometric catalogue NGC 6819
#Column	ID	(I4)	[1/7060] Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F6.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability [NULL integer written as an empty string]	[ucd=stat]
ID|RAJ2000|DEJ2000|Vmag|e_Vmag|U-B|e_U-B|B-V|e_B-V|pmRA|e_pmRA|pmDE|e_pmDE|Pmemb
2351|19 41 03.59|+40 07 44.66|19.503| 0.016| 0.230| 0.090| 0.596| 0.029|  -0.8| 7.6|  -1.2| 7.6| 95
2352|19 41 03.61|+40 20 52.20|19.465| 0.017|      |      | 0.955| 0.035|  -3.5| 7.3|  -4.5| 7.3| 99
2353|19 41 03.61|+40 13 12.11|19.786| 0.021|      |      | 1.203| 0.050|   3.9| 4.1|   1.9| 4.1| 31
2354|19 41 03.64|+40 06 57.95|18.032| 0.006| 0.646| 0.048| 0.981| 0.011|  -5.3| 4.6|   3.7| 4.6| 58
2355|19 41 03.67|+40 01 00.70|18.104| 0.006| 1.265| 0.108| 1.273| 0.014| -11.3| 4.0| -11.4| 4.0| 19
2356|19 41 03.67|+40 00 47.65|18.831| 0.010| 0.785| 0.100| 0.863| 0.019|  -5.3| 4.7|  -3.5| 4.7| 98
2357|19 41 03.71|+40 15 33.65|19.677| 0.019|-0.014| 0.094| 0.650| 0.034|      |    |      |    |
2358|19 41 03.71|+40 14 22.93|19.389| 0.015|      |      | 1.112| 0.034|  -0.8| 7.1|  -2.3| 7.1| 95
2359|19 41 03.73|+40 17 51.04|19.943| 0.025|      |      | 1.749| 0.084| -22.6| 5.3|  -1.5| 5.3|  6
2360|19 41 03.75|+40 00 52.18|19.978| 0.026|      |      | 0.876| 0.048|   3.8| 6.0|  -0.5| 6.0| 65
2361|19 41 03.75|+40 02 12.25|19.357| 0.015| 0.615| 0.116| 0.655| 0.026|  -4.3| 6.0|  -2.5| 6.0|100
2362|19 41 03.76|+40 15 14.58|19.108| 0.012| 0.654| 0.104| 0.799| 0.023|  -6.6| 7.3|  -2.3| 7.3| 97
2363|19 41 03.76|+40 18 09.60|20.648| 0.045|      |      | 1.629| 0.144|      |    |      |    |
2364|19 41 03.76|+40 20 30.39|18.792| 0.010| 0.324| 0.071| 0.815| 0.019|  -2.4| 5.3|  -3.8| 5.3| 98
2365|19 41 03.77|+40 13 31.09|15.846| 0.005| 0.134| 0.010| 0.664| 0.006| -10.5| 3.9|  -7.4| 3.9| 42
2366|19 41 03.78|+40 12 29.49|15.622| 0.004| 0.100| 0.008| 0.628| 0.005| -26.5| 3.8|   4.3| 3.8|  0
2367|19 41 03.78|+40 06 54.90|20.324| 0.032|      |      | 1.332| 0.085|  -5.3| 4.6|   3.7| 4.6| 58
2368|19 41 03.78|+40 05 49.78|20.530| 0.040|      |      | 1.968| 0.155|      |    |      |    |
2369|19 41 03.79|+40 08 23.02|19.706| 0.019|      |      | 1.123| 0.044|  -4.4| 4.5|  -1.0| 4.5| 94
2370|19 41 03.80|+40 17 30.58|20.507| 0.040|      |      | 0.682| 0.074|      |    |      |    |
2371|19 41 03.81|+40 11 06.95|19.379| 0.014| 0.142| 0.066| 0.427| 0.024|      |    |      |    |
2372|19 41 03.81|+40 14 40.20|17.145| 0.003| 0.316| 0.018| 0.752| 0.006|  -0.7| 4.0|   1.8| 4.0| 60
2373|19 41 03.82|+40 02 17.39|18.264| 0.007| 0.009| 0.029| 0.565| 0.011|  -1.6| 5.3|   0.1| 5.3| 87
2374|19 41 03.84|+40 21 00.36|18.476| 0.008|      |      | 1.456| 0.021|  -1.8| 4.0|  -5.9| 4.0| 85
2375|19 41 03.84|+40 05 05.14|18.415| 0.007| 0.520| 0.054| 0.837| 0.014| -10.2| 6.3|  -5.8| 6.3| 78
2376|19 41 03.85|+40 07 21.20|17.559| 0.004| 0.357| 0.025| 0.840| 0.008|  -3.5| 4.4|  -2.4| 4.4| 99
2377|19 41 03.85|+40 03 00.48|20.796| 0.052|      |      | 1.576| 0.149|      |    |      |    |
2378|19 41 03.85|+40 17 20.08|19.626| 0.019|      |      | 1.171| 0.044|  -5.5| 6.7|   5.6| 6.7| 67
2379|19 41 03.86|+40 12 17.47|17.331| 0.004| 0.781| 0.033| 1.073| 0.007|   3.3| 3.9|  -0.7| 3.9| 42
2380|19 41 03.87|+40 16 11.31|19.061| 0.012|      |      | 1.181| 0.027|  -1.1| 5.3|  -1.3| 5.3| 91
2381|19 41 03.87|+40 17 46.36|19.047| 0.012|      |      | 1.146| 0.027|  -3.0| 6.7|  -1.4| 6.7| 98
2382|19 41 03.89|+40 14 55.98|19.300| 0.014| 0.542| 0.110| 0.733| 0.027| -11.2| 5.8|   7.6| 5.8| 32
2383|19 41 03.89|+40 20 02.06|19.273| 0.014| 0.371| 0.102| 0.747| 0.027|  -0.9| 6.0|  -4.0| 6.0| 94
2384|19 41 03.94|+40 07 02.12|20.459| 0.036|      |      | 1.523| 0.108|  -3.5| 6.9|  22.8| 6.9|  4
2385|19 41 03.96|+40 18 52.88|18.876| 0.011| 0.405| 0.080| 0.864| 0.021|  -0.5| 7.3| -10.4| 7.3| 77
2386|19 41 03.98|+40 21 09.80|18.579| 0.009| 1.238| 0.140| 1.032| 0.018| -10.9| 4.3|   7.1| 4.3| 15
2387|19 41 04.03|+40 08 26.44|18.406| 0.007| 0.119| 0.038| 0.705| 0.013|  -4.4| 4.5|  -1.0| 4.5| 94
2388|19 41 04.04|+40 13 13.32|17.103| 0.003| 0.291| 0.016| 0.730| 0.005|   3.9| 4.1|   1.9| 4.1| 31
2389|19 41 04.06|+40 13 48.53|19.112| 0.012| 0.120| 0.074| 0.841| 0.024|  -8.0| 7.3| -13.8| 7.3| 58
2390|19 41 04.07|+40 18 44.85|20.660| 0.047|      |      | 1.355| 0.124|   6.6| 7.3| -11.4| 7.3| 48
2391|19 41 04.07|+40 14 34.72|18.747| 0.009|-0.005| 0.044| 0.637| 0.016|  -1.9| 7.3| -10.1| 7.3| 81
2392|19 41 04.07|+40 03 58.44|19.298| 0.014| 0.264| 0.082| 0.631| 0.024|  -2.0| 5.3|  -1.0| 5.3| 93
2393|19 41 04.08|+40 11 09.92|20.330| 0.031|      |      | 1.062| 0.072|      |    |      |    |
2394|19 41 04.11|+40 02 47.94|19.428| 0.016|      |      | 0.776| 0.029|  -2.4| 6.0|  -1.3| 6.0| 96
2395|19 41 04.12|+40 16 39.87|19.200| 0.013|      |      | 1.116| 0.030|  14.6| 6.7|   9.9| 6.7|  8
2396|19 41 04.12|+40 18 41.21|20.404| 0.036|      |      | 0.687| 0.067|   6.6| 7.3| -11.4| 7.3| 48
2397|19 41 04.15|+40 18 06.49|19.192| 0.013|-0.067| 0.072| 0.824| 0.026|   7.4| 8.8|  -8.5| 8.8| 64
2398|19 41 04.16|+40 04 09.25|19.440| 0.016| 0.185| 0.105| 0.882| 0.031|  -2.0| 5.3|   0.4| 5.3| 87
2399|19 41 04.16|+40 10 16.65|17.199| 0.003| 0.301| 0.018| 0.727| 0.006|  -7.2| 5.7| -25.9| 5.7|  3
2400|19 41 04.16|+40 10 23.56|15.244| 0.003| 0.076| 0.007| 0.571| 0.004|   0.3| 3.9|  15.0| 3.9|  1
2401|19 41 04.17|+40 11 23.50|17.573| 0.004| 0.419| 0.026| 0.821| 0.008|  -9.4| 4.0| -20.9| 4.0|  1
2402|19 41 04.18|+40 10 56.96|19.930| 0.023|      |      | 1.567| 0.071|      |    |      |    |
2403|19 41 04.20|+40 16 32.79|20.414| 0.035|      |      | 1.260| 0.090|      |    |      |    |
2404|19 41 04.22|+40 09 28.48|19.261| 0.014|      |      | 1.195| 0.032|  -3.0| 5.3|  -5.4| 5.3| 96
2405|19 41 04.23|+40 00 32.63|18.949| 0.011| 0.257| 0.067| 0.710| 0.019|  -3.9| 6.7|  -1.0| 6.7| 97
2406|19 41 04.24|+40 21 06.55|19.300| 0.016|      |      | 1.517| 0.042|  21.4| 4.0| -32.6| 4.0|  0
2407|19 41 04.24|+40 09 56.23|14.016| 0.002| 0.837| 0.006| 1.140| 0.002| -24.3| 3.9|   0.5| 3.9|  0
2408|19 41 04.25|+40 15 45.48|19.391| 0.015| 0.261| 0.102| 0.802| 0.030| -47.3| 7.3|   5.7| 7.3|  0
2409|19 41 04.28|+40 15 36.46|16.881| 0.003| 0.201| 0.014| 0.709| 0.005|  -2.7| 4.0|  -0.7| 4.0| 89
2410|19 41 04.28|+40 14 05.92|18.172| 0.006| 0.614| 0.052| 0.964| 0.013| -11.0| 4.5|   0.2| 4.5| 51
2411|19 41 04.29|+40 14 23.26|17.605| 0.004| 0.388| 0.027| 0.839| 0.008|  -3.6| 4.7|  -1.1| 4.7| 95
2412|19 41 04.30|+40 02 24.00|20.334| 0.033|      |      | 0.658| 0.058|      |    |      |    |
2413|19 41 04.32|+40 02 16.28|20.484| 0.039|      |      | 1.150| 0.085|      |    |      |    |
2414|19 41 04.33|+40 11 30.73|15.261| 0.003| 0.056| 0.006| 0.567| 0.004|  -2.2| 3.8|  11.2| 3.8|  4
2415|19 41 04.33|+40 17 33.37|18.975| 0.011|      |      | 1.098| 0.025|   0.6| 4.8|  -6.2| 4.8| 75
2416|19 41 04.38|+40 05 23.54|20.505| 0.038|      |      | 1.297| 0.096|      |    |      |    |
2417|19 41 04.39|+40 17 54.30|14.796| 0.003| 0.016| 0.005| 0.520| 0.003|   1.1| 3.8|  -2.7| 3.8| 67
2418|19 41 04.40|+40 15 18.40|17.026| 0.003| 0.544| 0.020| 0.909| 0.006|  -0.7| 4.0|  -3.3| 4.0| 86
2419|19 41 04.42|+40 16 16.81|20.462| 0.036|      |      | 0.997| 0.080|      |    |      |    |
2420|19 41 04.42|+40 08 27.55|19.537| 0.017|      |      | 1.419| 0.045|  10.8| 5.5|  -9.2| 5.5| 15
2421|19 41 04.44|+40 12 05.61|16.681| 0.002| 0.542| 0.016| 0.897| 0.005|  -6.7| 3.9| -13.1| 3.9| 22
2422|19 41 04.46|+40 05 29.21|19.239| 0.013|-0.025| 0.061| 0.591| 0.023|   2.2| 6.0|  -5.9| 6.0| 76
2423|19 41 04.46|+40 17 26.35|20.564| 0.041|      |      | 1.505| 0.121|      |    |      |    |
2424|19 41 04.49|+40 18 04.76|17.706| 0.005| 0.029| 0.021| 0.593| 0.008|  -1.0| 4.7|  -3.2| 4.7| 91
2425|19 41 04.52|+40 19 06.00|19.241| 0.014|-0.146| 0.057| 0.512| 0.023|  -6.0| 6.0|   0.5| 6.0| 89
2426|19 41 04.53|+40 12 52.71|20.026| 0.024|      |      | 0.670| 0.045|      |    |      |    |
2427|19 41 04.55|+40 16 54.27|17.912| 0.005| 0.584| 0.042| 0.940| 0.010|   2.3| 4.6|  -2.6| 4.6| 66
2428|19 41 04.56|+40 11 16.39|20.855| 0.051|      |      | 2.234| 0.252|      |    |      |    |
2429|19 41 04.57|+40 20 51.26|19.385| 0.016|      |      | 1.190| 0.037|  -4.8| 7.3|   5.1| 7.3| 74
2430|19 41 04.57|+40 04 51.02|13.535| 0.001| 1.268| 0.006| 1.290| 0.002|  -8.1| 3.9|  -3.0| 3.9| 78
2431|19 41 04.58|+40 13 34.45|17.919| 0.005| 0.693| 0.043| 0.905| 0.010|  -9.1| 4.5|  -6.7| 4.5| 66
2432|19 41 04.58|+40 01 17.54|17.782| 0.005| 0.215| 0.027| 0.752| 0.009|  -2.0| 4.6|  -6.1| 4.6| 88
2433|19 41 04.59|+40 08 48.58|17.983| 0.005| 0.560| 0.042| 0.898| 0.010| -12.9| 4.4|  -9.0| 4.4| 28
2434|19 41 04.60|+40 13 49.03|19.986| 0.024|      |      | 1.437| 0.069|      |    |      |    |
2435|19 41 04.60|+40 11 49.14|20.437| 0.036|      |      | 2.089| 0.157|      |    |      |    |
2436|19 41 04.62|+40 02 33.26|18.154| 0.006| 0.679| 0.053| 0.901| 0.012|   1.2| 4.0|  -6.5| 4.0| 60
2437|19 41 04.62|+40 16 00.16|19.890| 0.023|      |      | 1.818| 0.081|      |    |      |    |
2438|19 41 04.64|+40 12 13.41|19.995| 0.024|      |      | 1.280| 0.062|      |    |      |    |
2439|19 41 04.65|+40 15 44.76|17.523| 0.004| 0.367| 0.025| 0.829| 0.008|   2.1| 4.3|  -2.3| 4.3| 63
2440|19 41 04.70|+40 05 27.00|19.045| 0.012|      |      | 1.024| 0.024|   5.6| 5.1|  -4.4| 5.1| 45
2441|19 41 04.72|+40 14 31.97|16.459| 0.002| 0.129| 0.010| 0.670| 0.004|  -7.6| 3.9|  -1.1| 3.9| 77
2442|19 41 04.74|+40 01 46.10|20.307| 0.033|      |      | 0.682| 0.058|  -8.0| 8.1|   4.2| 8.1| 78
2443|19 41 04.75|+40 13 39.21|18.629| 0.009| 0.861| 0.092| 0.985| 0.018|  -2.8| 4.6|   2.7| 4.6| 67
2444|19 41 04.77|+40 10 42.16|20.618| 0.040|      |      | 0.398| 0.104|  -0.2| 3.9|  -7.9| 3.9| 58
2445|19 41 04.78|+40 06 16.24|17.418| 0.004| 0.135| 0.018| 0.672| 0.007|  -1.8| 5.1|  -1.1| 5.1| 92
2446|19 41 04.78|+40 06 56.91|19.113| 0.012| 0.464| 0.100| 0.887| 0.024|  -2.6| 5.6|  -0.5| 5.6| 93
2447|19 41 04.78|+40 20 05.81|19.193| 0.014| 0.491| 0.114| 0.861| 0.026|  -1.5| 5.3|  -1.6| 5.3| 93
2448|19 41 04.80|+40 13 57.95|15.563| 0.004| 0.059| 0.008| 0.586| 0.005|      |    |      |    |
2449|19 41 04.84|+40 09 08.81|18.999| 0.011| 0.615| 0.106| 1.022| 0.023|   1.2| 4.8|  12.9| 4.8|  6
2450|19 41 04.85|+40 03 25.15|19.569| 0.018| 0.394| 0.118| 0.684| 0.031|  -4.0| 8.1|   0.7| 8.1| 95
2451|19 41 04.86|+40 19 09.80|19.799| 0.022|-0.049| 0.135| 0.911| 0.045|   4.1| 7.6|  -0.3| 7.6| 75
2452|19 41 04.88|+40 18 20.89|15.263| 0.004| 0.029| 0.006| 0.557| 0.004|  -5.2| 3.8|   3.5| 3.8| 48
2453|19 41 04.88|+40 02 06.58|18.409| 0.007| 0.013| 0.032| 0.542| 0.012|   0.9| 5.3|  -6.3| 5.3| 77
2454|19 41 04.89|+40 10 59.09|16.855| 0.003| 0.216| 0.013| 0.711| 0.005|  -4.5| 4.0|   0.9| 4.0| 78
2455|19 41 04.89|+40 13 22.82|16.980| 0.003| 0.203| 0.015| 0.743| 0.005|  -4.6| 4.0|  -1.9| 4.0| 97
2456|19 41 04.90|+40 17 06.86|18.682| 0.009|-0.052| 0.043| 0.705| 0.016|  -4.1| 5.3|  -4.9| 5.3| 98
2457|19 41 04.91|+40 07 24.59|20.294| 0.031|      |      | 1.014| 0.073|  -5.0| 5.6| -78.3| 5.6|  0
2458|19 41 04.93|+40 05 17.18|16.370| 0.002| 0.678| 0.014| 0.958| 0.004|  -8.8| 3.8|  -8.9| 3.8| 43
2459|19 41 04.93|+40 07 37.87|20.279| 0.031|      |      | 1.454| 0.087|      |    |      |    |
2460|19 41 04.94|+40 08 52.85|18.866| 0.010| 0.548| 0.071| 0.703| 0.018|  -6.2| 5.3| -10.1| 5.3| 67
2461|19 41 04.94|+40 12 38.10|16.613| 0.002| 0.234| 0.012| 0.799| 0.004|  -6.0| 4.0|  -0.6| 4.0| 85
2462|19 41 04.95|+40 05 28.57|19.776| 0.020|      |      | 0.869| 0.040|  11.8| 6.0|  -2.6| 6.0| 21
2463|19 41 04.96|+40 15 32.05|17.346| 0.004| 0.281| 0.020| 0.743| 0.007|   1.1| 4.4|  -2.2| 4.4| 73
2464|19 41 04.99|+40 19 39.51|19.671| 0.020| 0.356| 0.128| 0.626| 0.035|  -0.8| 7.6|  -5.9| 7.6| 94
2465|19 41 04.99|+40 02 37.40|18.942| 0.011| 0.549| 0.095| 0.924| 0.021|   3.8| 5.3|  -0.7| 5.3| 58
2466|19 41 05.01|+40 06 08.16|17.873| 0.005| 0.415| 0.034| 0.863| 0.010|  -0.1| 4.1|  -1.7| 4.1| 79
2467|19 41 05.04|+40 04 15.29|16.823| 0.003| 0.398| 0.016| 0.830| 0.005|   3.2| 4.0|  -1.6| 4.0| 47
2468|19 41 05.05|+40 20 06.17|20.502| 0.041|      |      | 1.022| 0.090|  -1.5| 5.3|  -1.6| 5.3| 93
2469|19 41 05.06|+40 10 18.87|20.224| 0.029|      |      | 0.980| 0.063|      |    |      |    |
2470|19 41 05.09|+40 19 32.15|18.776| 0.010| 0.387| 0.068| 0.757| 0.018|  -2.9| 6.0|  -5.2| 6.0| 97
2471|19 41 05.11|+40 03 12.83|14.565| 0.002| 0.996| 0.009| 1.165| 0.003|  -9.2| 3.8|   6.9| 3.8| 13
2472|19 41 05.19|+40 13 34.92|20.420| 0.035|      |      | 1.173| 0.087|  -4.0| 6.9|   4.3| 6.9| 76
2473|19 41 05.25|+40 18 45.32|15.286| 0.004| 0.406| 0.009| 0.780| 0.004|  -5.6| 3.8|   6.8| 3.8| 20
2474|19 41 05.27|+40 14 04.23|13.164| 0.001| 1.042| 0.004| 1.208| 0.002|  23.5| 3.9|  15.9| 3.9|  0
2475|19 41 05.28|+40 11 09.26|20.864| 0.051|      |      | 1.820| 0.191|      |    |      |    |
2476|19 41 05.29|+40 17 22.72|17.326| 0.004| 0.086| 0.017| 0.679| 0.006|  -2.5| 4.5|  -0.8| 4.5| 91
2477|19 41 05.30|+40 04 56.08|16.657| 0.002| 0.243| 0.012| 0.714| 0.004|  10.1| 4.0|   7.6| 4.0|  1
2478|19 41 05.30|+40 10 14.33|18.508| 0.008| 0.850| 0.077| 0.935| 0.015|  -2.5| 4.9|  -3.8| 4.9| 98
2479|19 41 05.34|+40 00 39.58|19.633| 0.020| 0.200| 0.125| 0.771| 0.035| -22.8| 6.0|   8.3| 6.0|  5
2480|19 41 05.34|+40 05 59.07|17.492| 0.004| 0.373| 0.024| 0.822| 0.007|  -3.8| 4.3|  -0.1| 4.3| 88
2481|19 41 05.36|+40 07 48.23|17.050| 0.003| 0.123| 0.015| 0.738| 0.005|  -2.8| 4.1|   1.1| 4.1| 76
2482|19 41 05.39|+40 09 47.01|18.820| 0.010| 0.986| 0.114| 0.962| 0.020|  -1.6| 5.3|  -4.3| 5.3| 95
2483|19 41 05.39|+40 16 46.46|18.713| 0.009| 0.215| 0.060| 0.878| 0.018|  -6.9| 4.4| -14.3| 4.4| 23
2484|19 41 05.41|+40 07 41.10|17.476| 0.004| 0.288| 0.024| 0.910| 0.007|  -4.3| 4.0|  -2.7| 4.0| 99
2485|19 41 05.48|+40 09 01.57|17.046| 0.003| 0.403| 0.018| 0.847| 0.006|  -0.8| 4.0|  -3.0| 4.0| 87
2486|19 41 05.51|+40 08 28.59|15.858| 0.005| 0.069| 0.009| 0.607| 0.006|  -4.9| 3.9|  -0.7| 3.9| 90
2487|19 41 05.52|+40 02 17.56|17.112| 0.003| 0.105| 0.015| 0.685| 0.005|  -2.6| 4.3|  -6.4| 4.3| 87
2488|19 41 05.52|+40 10 24.94|20.615| 0.040|      |      | 1.033| 0.091|      |    |      |    |
2489|19 41 05.54|+40 15 40.82|20.783| 0.049|      |      | 1.539| 0.150|      |    |      |    |
2490|19 41 05.57|+40 08 52.14|20.646| 0.041|      |      | 0.436| 0.082|      |    |      |    |
2491|19 41 05.57|+40 13 36.38|18.604| 0.008|-0.037| 0.039| 0.689| 0.015|  -4.0| 6.9|   4.3| 6.9| 76
2492|19 41 05.60|+40 12 38.93|18.823| 0.010|-0.071| 0.044| 0.627| 0.017|  14.8| 7.3|   2.3| 7.3| 20
2493|19 41 05.61|+40 18 08.25|19.758| 0.021|      |      | 0.992| 0.045|      |    |      |    |
2494|19 41 05.65|+40 12 17.76|19.238| 0.013| 0.346| 0.086| 0.707| 0.024|  -3.4| 7.3|  -1.2| 7.3| 98
2495|19 41 05.67|+40 00 49.64|20.117| 0.029|      |      | 0.848| 0.053|  -4.4| 7.3|  -8.4| 7.3| 90
2496|19 41 05.68|+40 11 57.19|19.372| 0.015|      |      | 1.154| 0.034|   7.5| 6.9|   5.1| 6.9| 39
2497|19 41 05.69|+40 08 01.16|15.950| 0.005| 0.738| 0.016| 0.948| 0.007| -12.0| 3.8| -12.2| 3.8| 11
2498|19 41 05.69|+40 13 39.37|20.057| 0.025|      |      | 1.134| 0.062|  -4.0| 6.9|   4.3| 6.9| 76
2499|19 41 05.70|+40 16 01.40|15.861| 0.005| 0.086| 0.009| 0.584| 0.006|  -8.1| 3.9|  -0.3| 3.9| 69
2500|19 41 05.72|+40 19 44.96|16.846| 0.003| 0.253| 0.014| 0.728| 0.005|  -1.7| 4.0|   1.7| 4.0| 66
2501|19 41 05.73|+40 13 17.55|15.646| 0.004| 0.090| 0.008| 0.628| 0.005|  -9.8| 3.9|  -5.6| 3.9| 57
2502|19 41 05.74|+40 13 25.44|18.321| 0.007| 0.638| 0.056| 0.868| 0.013|  -3.6| 4.3|   0.1| 4.3| 87
2503|19 41 05.74|+40 17 29.64|19.886| 0.023|      |      | 1.601| 0.072| -10.1| 7.3|   3.4| 7.3| 71
2504|19 41 05.75|+40 03 19.84|17.171| 0.003| 0.689| 0.025| 0.912| 0.006|  -2.4| 3.9|  18.0| 3.9|  0
2505|19 41 05.77|+40 06 17.95|18.593| 0.008| 0.593| 0.075| 1.009| 0.017|  -0.6| 5.0|  -4.8| 5.0| 88
2506|19 41 05.77|+40 18 38.38|18.120| 0.006| 1.021| 0.082| 1.155| 0.013|   1.2| 4.2|  -7.4| 4.2| 58
2507|19 41 05.79|+40 04 47.30|20.992| 0.058|      |      | 0.923| 0.119|      |    |      |    |
2508|19 41 05.79|+40 11 50.06|20.513| 0.037|      |      | 1.370| 0.104|      |    |      |    |
2509|19 41 05.80|+40 11 23.21|18.924| 0.010|      |      | 1.083| 0.023|  -0.1| 6.8|   0.1| 6.8| 88
2510|19 41 05.81|+40 03 04.52|16.145| 0.002| 0.023| 0.007| 0.520| 0.003|  -1.4| 4.0|  -5.7| 4.0| 84
2511|19 41 05.82|+40 09 22.69|15.943| 0.005| 0.266| 0.011| 0.751| 0.006|  -2.3| 3.8|   4.9| 3.8| 34
2512|19 41 05.84|+40 01 37.29|16.068| 0.002| 0.801| 0.013| 0.962| 0.003| -10.5| 3.8| -24.6| 3.8|  0
2513|19 41 05.84|+40 19 31.79|17.332| 0.004| 0.225| 0.020| 0.736| 0.007|  -6.3| 5.1|  47.2| 5.1|  0
2514|19 41 05.86|+40 17 58.93|19.812| 0.022|      |      | 1.618| 0.068|      |    |      |    |
2515|19 41 05.86|+40 07 02.60|20.317| 0.033|      |      | 1.787| 0.114|      |    |      |    |
2516|19 41 05.86|+40 13 34.24|18.657| 0.009| 0.499| 0.059| 0.702| 0.015|  -1.7| 6.7|   4.9| 6.8| 71
2517|19 41 05.87|+40 12 30.34|15.295| 0.004| 0.076| 0.007| 0.598| 0.004|  -3.4| 3.8|  -2.4| 3.8| 98
2518|19 41 05.89|+40 03 11.40|18.800| 0.010| 0.146| 0.054| 0.707| 0.017|   0.1| 6.0|   1.4| 6.0| 79
2519|19 41 05.89|+40 07 31.89|16.169| 0.002| 0.407| 0.010| 0.836| 0.003|  -3.7| 3.9|  -4.0| 3.9| 99
2520|19 41 05.93|+40 05 40.68|19.459| 0.016|      |      | 1.345| 0.041|  -1.7| 4.6|  -8.1| 4.6| 74
2521|19 41 05.94|+40 05 50.99|16.581| 0.002| 1.180| 0.027| 1.213| 0.005| -11.9| 3.8| -29.5| 3.8|  0
2522|19 41 05.95|+40 20 26.54|20.316| 0.036|      |      | 1.306| 0.089|      |    |      |    |
2523|19 41 05.95|+40 08 18.57|20.771| 0.046|      |      | 1.025| 0.104|      |    |      |    |
2524|19 41 05.96|+40 20 51.91|20.162| 0.031|      |      | 1.010| 0.065|      |    |      |    |
2525|19 41 05.96|+40 08 49.75|16.596| 0.002| 0.117| 0.010| 0.647| 0.004|  -1.9| 4.0|  -3.1| 4.0| 94
2526|19 41 05.96|+40 11 33.02|19.008| 0.011|      |      | 1.064| 0.024|  -1.9| 6.7|  -3.2| 6.7| 98
2527|19 41 05.97|+40 17 01.50|20.096| 0.027|      |      | 1.079| 0.062|  -2.5| 8.8|  -8.7| 8.8| 91
2528|19 41 05.97|+40 19 27.03|18.568| 0.008| 0.086| 0.043| 0.661| 0.015|   9.7| 7.6| -61.6| 7.6|  0
2529|19 41 05.97|+40 11 42.52|15.171| 0.003| 0.069| 0.006| 0.574| 0.004|  -4.6| 3.8|  -8.5| 3.8| 66
2530|19 41 05.98|+40 20 38.73|17.811| 0.005| 0.524| 0.038| 0.863| 0.010|  -0.3| 4.0|  -1.5| 4.0| 79
2531|19 41 05.98|+40 03 48.12|18.760| 0.009| 0.228| 0.053| 0.677| 0.016|  -1.9| 5.3|  -0.6| 5.3| 91
2532|19 41 05.98|+40 00 36.13|14.199| 0.002| 0.099| 0.004| 0.592| 0.002|  -4.3| 3.8|  -1.3| 3.8| 94
2533|19 41 05.98|+40 05 25.27|17.258| 0.004| 0.289| 0.018| 0.716| 0.006|  -8.1| 4.1|  -0.7| 4.1| 73
2534|19 41 06.00|+40 03 40.52|20.721| 0.047|      |      | 0.995| 0.098|      |    |      |    |
2535|19 41 06.02|+40 19 19.57|19.025| 0.012|      |      | 1.064| 0.025|  -6.5| 6.0|  -7.6| 6.0| 86
